# Table file generated by DoomMake.
#
# This file is input for SWANTBLS.EXE, it specifies the switchnames
# and animated textures and flats usable with BOOM. The output of
# SWANTBLS is two lumps, SWITCHES.LMP and ANIMATED.LMP that should
# be inserted in the PWAD as lumps.
#
# Of course, this is also readable by WSWANTBL.

# switches usable with each IWAD, 1=SW, 2=registered DOOM, 3=DOOM2
[SWITCHES]
# epi   texture1        texture2

# Shareware Doom
1       SW1BRCOM        SW2BRCOM
1       SW1BRN1         SW2BRN1
1       SW1BRN2         SW2BRN2
1       SW1BRNGN        SW2BRNGN
1       SW1BROWN        SW2BROWN
1       SW1COMM         SW2COMM
1       SW1COMP         SW2COMP
1       SW1DIRT         SW2DIRT
1       SW1EXIT         SW2EXIT
1       SW1GRAY         SW2GRAY
1       SW1GRAY1        SW2GRAY1
1       SW1METAL        SW2METAL
1       SW1PIPE         SW2PIPE
1       SW1SLAD         SW2SLAD
1       SW1STARG        SW2STARG
1       SW1STON1        SW2STON1
1       SW1STON2        SW2STON2
1       SW1STONE        SW2STONE
1       SW1STRTN        SW2STRTN

# Registered Doom
2       SW1BLUE         SW2BLUE
2       SW1CMT          SW2CMT
2       SW1GARG         SW2GARG
2       SW1GSTON        SW2GSTON
2       SW1HOT          SW2HOT
2       SW1LION         SW2LION
2       SW1SATYR        SW2SATYR
2       SW1SKIN         SW2SKIN
2       SW1VINE         SW2VINE
2       SW1WOOD         SW2WOOD

# All Versions
3       SW1PANEL        SW2PANEL
3       SW1ROCK         SW2ROCK
3       SW1MET2         SW2MET2
3       SW1WDMET        SW2WDMET
3       SW1BRIK         SW2BRIK
3       SW1MOD1         SW2MOD1
3       SW1ZIM          SW2ZIM
3       SW1STON6        SW2STON6
3       SW1TEK          SW2TEK
3       SW1MARB         SW2MARB
3       SW1SKULL        SW2SKULL

# intercep3 switches
3       BLULITE1        BLULITE2
3       BLULITE3        BLULITE4
3       GRALITE1        GRALITE2
3       GRALITE3        GRALITE4
3       GRELITE1        GRELITE2
3       GRELITE3        GRELITE4
3       ORALITE1        ORALITE2
3       ORALITE3        ORALITE4
3       REDLITE1        REDLITE2
3       REDLITE3        REDLITE4
3       YELLITE1        YELLITE2
3       YELLITE3        YELLITE4
3       METBK1A         METBK1B
3       METBK2A         METBK2B
3       METBK3A         METBK3B
3       SW1BLAKA        SW2BLAKA
3       SW1BLAKB        SW2BLAKB
3       SW1BRIK1        SW2BRIK1
3       SW1BRIK2        SW2BRIK2
3       SW1BRIK3        SW2BRIK3
3       SW1EYE          SW2EYE
3       SW1KEYB1        SW2KEYB1
3       SW1KEYR1        SW2KEYR1
3       SW1KEYY1        SW2KEYY1
3       SW1MARB2        SW2MARB2
3       SW1MET01        SW2MET01
3       SW1MINO         SW2MINO
3       SW1SHAU1        SW2SHAU1
3       SW1SHAU2        SW2SHAU2
3       SW1SHAU3        SW2SHAU3
3       SW1SHAU4        SW2SHAU4
3       SW1SHAU5        SW2SHAU5
3       SW1SHAU6        SW2SHAU6
3       SW1STAIR        SW2STAIR
3       SW1STUC1        SW2STUC1
3       SW1WOOD1        SW2WOOD1
3       SW1WOOD2        SW2WOOD2
3       SW1WOOD3        SW2WOOD3
3       SW1STUC1        SW2STUC1
3       SW1DOOMG        SW2DOOMG
3       SW1MET_B        SW2MET_B
3       SW1MET_G        SW2MET_G
3       SW1MET_Y        SW2MET_Y
3       SW1MET_R        SW2MET_R
3       SW1TEK_B        SW2TEK_B
3       SW1TEK_G        SW2TEK_G
3       SW1TEK_Y        SW2TEK_Y
3       SW1TEK_R        SW2TEK_R
3       SW1SUPP3        SW2SUPP3
3       SW1WOOD4        SW2WOOD4
3       SW1ALLCM        SW2ALLCM
3       SW1ALLC2        SW2ALLC2
3       SW1ALLSL        SW2ALLSL
3       SW1CPLKB        SW2CPLKB
3       SW1CPLKG        SW2CPLKG
3       SW1CPLKR        SW2CPLKR
3       SW1CPLKY        SW2CPLKY
3       SW1STGAR        SW2STGAR
3       SW1MONIT        SW2MONIT
3       SW1BASE         SW2BASE
3       DMNHED          DMNHE2
3       HEADG01         HEADH01
3       NSWTH0_0        NSWTH0_3
3       MALTR002        MALTR003
3       MALTR102        MALTR103
3       SW1AUG1         SW2AUG1
3       SW1AUG2         SW2AUG2
3       SW1AUG3         SW2AUG3
3       SW1AUG4         SW2AUG4

# animated flats, spd is number of frames between changes
# 65536 = warping, in EE
[FLATS]
# spd   last        first
8       NUKAGE3     NUKAGE1
5       FWATER4     FWATER1
8       SWATER4     SWATER1
12      LAVA4       LAVA1
10      BLOOD3      BLOOD1
16      RROCK08     RROCK05
8       SLIME04     SLIME01
10      SLIME08     SLIME05
12      SLIME12     SLIME09

# animated textures, spd is number of frames between changes
[TEXTURES]
# spd   last        first
8       BLODGR4     BLODGR1
8       SLADRIP3    SLADRIP1
8       BLODRIP4    BLODRIP1
8       FIREWALL    FIREWALA
8       GSTFONT3    GSTFONT1
8       FIRELAVA    FIRELAV3
8       FIREMAG3    FIREMAG1
8       FIREBLU2    FIREBLU1
8       ROCKRED3    ROCKRED1
8       BFALL4      BFALL1
8       SFALL4      SFALL1
5       WFALL4      WFALL1
8       DBRAIN4     DBRAIN1

# intercep3 animated flats

2       FANF04      FANF01
2       FANF08      FANF05
2       STATIF04    STATIF01
2       STATIF08    STATIF05
8       SLIME20     SLIME17
8       SLIME25     SLIME22

# intercep3 animated textures

8       BK11FLL3    BK11FLL1
8       BK11GRT3    BK11GRT1
8       BK10DRN3    BK10DRN1
8       BK10GRT3    BK10GRT1
8       BK10SLM4    BK10SLM1
10      BSTBLD3     BSTBLD1
8       BSTSLIM3    BSTSLIM1
8       FIREBLK2    FIREBLK1
12      GLDFALL4    GLDFALL1
10      SLADBLD3    SLADBLD1
12      SLADGLD3    SLADGLD1
8       SLADRIP3    SLADRIP1
10      SLADSLM3    SLADSLM1
5       SLADWFL3    SLADWFL1
10      BLOFALL4    BLOFALL1
16      COMPEYE4    COMPEYE1
16      COMPEYE8    COMPEYE5
2       COMPSPF3    COMPSPF1
2       FAN004      FAN001
2       FAN008      FAN005
2       FAN012      FAN009
2       FAN016      FAN013
2       FAN020      FAN017
8       GSTFONT6    GSTFONT4
12      LAVFALL4    LAVFALL1
12      LAVFALL8    LAVFALL5
6       MOON30      MOON01
8       NUKFALL4    NUKFALL1
16      SKINEYE5    SKINEYE1
10      SLIFALL4    SLIFALL1
10      SLIFALL8    SLIFALL5
2       STATIC04    STATIC01
2       STATIC08    STATIC05
2       STATIC12    STATIC09
2       STATIC16    STATIC13
8       STONESL3    STONESL1
8       STONEWA3    STONEWA1
35      DEADGUY2    DEADGUY1
5       ACANDL03    ACANDL01
2       TEKGFAN4    TEKGFAN1
8       MAD_4       MAD_2
8       MAD_8       MAD_6
8       Z_BRK012    Z_BRK009
8       ZDIRT303    ZDIRT300
8       ZDIRT403    ZDIRT400
8       ZDIRT503    ZDIRT500
8       ZDIRT603    ZDIRT600
8       ZDIRT703    ZDIRT700
8       ZDIRT803    ZDIRT800
8       SLIME25     SLIME22
6       BUBB4       BUBB1
8       MIDFIR3     MIDFIR1
16      SKIN2012    SKIN2011
16      SKIN2010    SKIN2009
5       WATFALL4    WATFALL1
